lap,sector,cp,player_index,time
1,1,1,0,5.4261
1,1,1,1,5.5176
1,1,1,2,5.1368
1,1,1,3,6.8884
1,1,1,4,3.9889
1,1,1,5,4.8432
1,1,1,6,6.0563
1,1,1,7,4.4487
1,1,1,8,5.9562
1,1,1,9,3.7018
1,1,1,10,4.9678
1,1,1,11,6.1099
1,1,1,12,6.6292
1,1,1,13,4.6082
1,1,1,14,6.4174
1,1,1,15,4.0027
1,1,1,16,5.67
1,1,2,0,1.4608
1,1,2,1,1.4098
1,1,2,2,1.5115
1,1,2,3,1.3022
1,1,2,4,1.6245
1,1,2,5,1.5039
1,1,2,6,1.3525
1,1,2,7,1.569
1,1,2,8,1.3698
1,1,2,9,1.7087
1,1,2,10,1.3972
1,1,2,11,1.2759
1,1,2,12,1.2939
1,1,2,13,1.5441
1,1,2,14,1.3557
1,1,2,15,1.5469
1,1,2,16,1.389
1,1,3,0,1.2147
1,1,3,1,1.1842
1,1,3,2,1.2424
1,1,3,3,1.1306
1,1,3,4,1.2903
1,1,3,5,1.225
1,1,3,6,1.1407
1,1,3,7,1.2684
1,1,3,8,1.1599
1,1,3,9,1.3185
1,1,3,10,1.1758
1,1,3,11,1.1155
1,1,3,12,1.1164
1,1,3,13,1.2522
1,1,3,14,1.1663
1,1,3,15,1.2396
1,1,3,16,1.1598
1,1,4,0,1.4055
1,1,4,1,1.3726
1,1,4,2,1.4286
1,1,4,3,1.3292
1,1,4,4,1.4627
1,1,4,5,1.4044
1,1,4,6,1.3281
1,1,4,7,1.441
1,1,4,8,1.352
1,1,4,9,1.4708
1,1,4,10,1.3735
1,1,4,11,1.3303
1,1,4,12,1.3008
1,1,4,13,1.4277
1,1,4,14,1.3649
1,1,4,15,1.4215
1,1,4,16,1.3445
1,1,5,0,1.368
1,1,5,1,1.3251
1,1,5,2,1.3772
1,1,5,3,1.3143
1,1,5,4,1.3898
1,1,5,5,1.3472
1,1,5,6,1.3024
1,1,5,7,1.3689
1,1,5,8,1.3143
1,1,5,9,1.4063
1,1,5,10,1.3209
1,1,5,11,1.2934
1,1,5,12,1.2907
1,1,5,13,1.3719
1,1,5,14,1.3409
1,1,5,15,1.3642
1,1,5,16,1.3249
1,1,6,0,0.9288
1,1,6,1,0.8952
1,1,6,2,0.9332
1,1,6,3,0.8982
1,1,6,4,0.9494
1,1,6,5,0.9131
1,1,6,6,0.8869
1,1,6,7,0.9226
1,1,6,8,0.8914
1,1,6,9,0.9439
1,1,6,10,0.8994
1,1,6,11,0.8944
1,1,6,12,0.8835
1,1,6,13,0.9215
1,1,6,14,0.9227
1,1,6,15,0.9236
1,1,6,16,0.8986
1,1,7,0,0.8231
1,1,7,1,0.75
1,1,7,2,0.7996
1,1,7,3,0.7946
1,1,7,4,0.8496
1,1,7,5,0.9381
1,1,7,6,0.8065
1,1,7,7,0.8119
1,1,7,8,0.7606
1,1,7,9,0.8345
1,1,7,10,0.7397
1,1,7,11,0.8817
1,1,7,12,0.8116
1,1,7,13,0.8737
1,1,7,14,0.7764
1,1,7,15,0.7664
1,1,7,16,0.8732
1,1,8,0,0.7397
1,1,8,1,0.677
1,1,8,2,0.7698
1,1,8,3,0.7644
1,1,8,4,0.7379
1,1,8,5,0.8026
1,1,8,6,0.783
1,1,8,7,0.7287
1,1,8,8,0.7564
1,1,8,9,0.7178
1,1,8,10,0.744
1,1,8,11,0.8237
1,1,8,12,0.7156
1,1,8,13,0.7517
1,1,8,14,0.8193
